"Location","Time","AM.PM","lat","long"
"UNIONPORT RD  BX","0217","A",40.841258,40.841258
"UNIONPORT ROAD  BX","0118","A",40.841258,40.841258
"PURDY STREET  BX","0615","A",40.8376796,40.8376796
"METROPOLITAN OVAL  BX","0110","A",-0.0952434,-0.0952434
"MCGRAW AVE  BX","0630","A",40.8346086,40.8346086
"METROPOLITAN OVAL  BX","0622","A",-0.0952434,-0.0952434
"MCGRAW AVENUE  ","1116","P",40.8346086,40.8346086
"METROPOLITAN OVAL  BX","1035","P",-0.0952434,-0.0952434
"MCGRAW AVE  BX","0534","P",40.8346086,40.8346086
"WEST AVE  BX","0645","P",40.8375958,40.8375958
"MCGRAW  BX","0945","P",40.8346086,40.8346086
"ODELL STREET  BX","0511","A",40.8370586,40.8370586
"METROPOLITAN OVAL  BX","0256","A",-0.0952434,-0.0952434
"METROPOLITAN AVE  BX","0135","A",40.8384045,40.8384045
"METROPOLITAN OVAL  BX","0626","A",-0.0952434,-0.0952434
"UNIONPORT ROAD  BX","0156","A",40.841258,40.841258
"METROPOLITAN OVAL  BX","0303","A",-0.0952434,-0.0952434
"METROPOLITAN AVE  ","0258","A",39.327932,39.327932
"EAST TREMONT AVE  BX","0651","A",40.8410515,40.8410515
"EAST TREMONT  BX","0518","A",40.8453781,40.8453781
"E TREMONT AVE  BX","0216","A",40.8410515,40.8410515
"METROPOLITAN OVAL  BX","0120","A",-0.0952434,-0.0952434
"EAST TREMONT AVENUE  BX","0429","A",40.8410515,40.8410515
"METROPOLITAN OVAL  BX","0123","A",-0.0952434,-0.0952434
"ODELL STREET  BX","0347","A",40.8370586,40.8370586
"UNIONPORT ROAD  BX","0301","A",40.841258,40.841258
"E TREMONT AVE  BX","0452","A",40.8410515,40.8410515
"UNIONPOINT ROAD  BX","1217","A",40.841258,40.841258
"METROPOLITAN OVAL  BX","1226","A",-0.0952434,-0.0952434
"METROPOLITAN OVAL  BX","1234","A",-0.0952434,-0.0952434
"METROPOLITAN OVAL  BX","0015","A",-0.0952434,-0.0952434
"UNIONPORT ROAD  BX","0214","A",40.841258,40.841258
"METROPOLITAN OVAL  BX","1211","A",-0.0952434,-0.0952434
"UNIONPORT ROAD  BX","0325","A",40.841258,40.841258
"BOSTON RD BRYANT AVE BX","0716","P",42.3600825,42.3600825
"THIRD AVEUNE  BX","0712","P",48.3183969,48.3183969
"MARMION AVE  BX","0835","P",40.8426982,40.8426982
"167TH ST  Q","1032","A",41.5878032,41.5878032
"E HOUSTON ST  NY","1025","A",40.7216688,40.7216688
"E HOUSTON ST 2ND AVE NY","0738","A",40.7240965,40.7240965
"E HOUSTON ST CHRYSTIE ST NY","0137","P",40.723438,40.723438
"E/S 7TH AVE N/O W 31 ST NY","1037","A",40.7375212,40.7375212
"5TH AVE  NY","0445","P",40.7750534,40.7750534
"6TH AVE  ","0405","P",39.7255178,39.7255178
"7TH AVE  NY","0919","A",40.7668893,40.7668893
"CHAMBERS ST  NY","1045","A",40.7162918,40.7162918
"GREENWICH ST  NY","1105","A",40.7221373,40.7221373
"E 30TH ST  ","1225","P",39.8109953,39.8109953
"BRYANT PARK  ","1140","A",40.7556029,40.7556029
"5TH AVE  ","1215","P",31.9783534,31.9783534
"N/S 48 ST E/O 12TH NY","1005","A",40.7332675,40.7332675
"S/S 48 ST E/O 12TH AVE NY","1000","A",40.7332675,40.7332675
"WEST 175 STREET  NY","0508","P",40.8454459,40.8454459
"WEST 175 STREET  NY","0505","P",40.8454459,40.8454459
"WEST 175 STREET  NY","0755","P",40.8454459,40.8454459
"EDWARD MORGAN PL  NY","0352","A",40.8344115,40.8344115
"EDWARD MORGAN PL  NY","0352","A",40.8344115,40.8344115
"W 161 ST  NY","0205","A",40.8351238,40.8351238
"W 161 ST  NY","0915","P",40.8351238,40.8351238
"W/S FDR N/O E HOUSTON ST NY","0309","P",40.716755,40.716755
"BROADWAY  NY","0429","P",40.759011,40.759011
"BROADWAY  NY","0441","P",40.759011,40.759011
"BROADWAY  NY","0444","P",40.759011,40.759011
"BROADWAY  NY","0446","P",40.759011,40.759011
"S/S BLEECKER ST W/O CROSBY ST NY","0451","P",40.7226717,40.7226717
"GREAT JONES ST  NY","0537","P",40.7272842,40.7272842
"W 3RD ST  NY","0540","P",40.7293961,40.7293961
"MERCER ST  ","0550","P",41.3416387,41.3416387
"MERCER ST  NY","0554","P",40.7251925,40.7251925
"W/S NASSAU ST N/O FULTON ST NY","0631","P",40.6838353,40.6838353
"W/S NASSAU ST N/O FULTON ST NY","0633","P",40.6838353,40.6838353
"BROADWAY  NY","0348","P",40.759011,40.759011
"BROADWAY  NY","0357","P",40.759011,40.759011
"BROADWAY  NY","0358","P",40.759011,40.759011
"BROADWAY  NY","0407","P",40.759011,40.759011
"S/S BLEECKER ST E/O BROADWAY NY","0411","P",40.7287995,40.7287995
"BOND ST  NY","0422","P",40.7266358,40.7266358
"N/S BOND ST E/O BROADWAY NY","0425","P",40.7266358,40.7266358
"BROADWAY  NY","0435","P",40.759011,40.759011
"WASHINGTON PL  NY","0446","P",40.731638,40.731638
"E/S MERCER ST S/O W 3RD ST NY","0450","P",40.205134,40.205134
"S/S PRINCE ST W/O SULLIVAN ST NY","0543","P",40.7276175,40.7276175
"6TH AVE  NY","0547","P",40.742903,40.742903
"6TH AVE  NY","0549","P",40.742903,40.742903
"NASSAU ST  NY","0634","P",40.7095328,40.7095328
"BROADWAY  NY","0421","P",40.759011,40.759011
"BROADWAY  NY","0423","P",40.759011,40.759011
"BROADWAY  NY","0430","P",40.759011,40.759011
"BROADWAY  NY","0432","P",40.759011,40.759011
"SUMMERFIELD ST CYPRESS AVE Q","1046","A",36.1353384,36.1353384
"7TH AVE  NY","0725","P",40.7668893,40.7668893
"30 PL 47 AVE Q","0132","P",40.745483,40.745483
"30 PL 47 AVE Q","0140","P",40.745483,40.745483
"30 PL 47 AVE Q","1031","A",40.745483,40.745483
"30 PL 47 AVE Q","0143","P",40.745483,40.745483
"30 PL 47 AVE Q","1235","P",40.745483,40.745483
"YORK AVE  NY","1157","A",40.7694491,40.7694491
"W 37TH ST  ","1207","P",32.058907,32.058907
"BROADWAY  NY","0509","P",40.759011,40.759011
"W 46TH ST  NY","0433","P",40.7603874,40.7603874
"S/S JACKSON AVE 42 RD Q","0807","A",40.748406,40.748406
"E 62 ST  NY","0713","A",40.7624844,40.7624844
"W/S 31 ST S/O 47 AVE Q","1130","A",40.7435032,40.7435032
"23 ST  Q","0814","A",41.4385545,41.4385545
"E 59 ST  NY","0927","A",40.7615589,40.7615589
"E 59 ST  NY","0930","A",40.7615589,40.7615589
"47 AVE  Q","0300","A",42.5627587,42.5627587
"31 ST 48 AVE Q","0305","P",40.7410667,40.7410667
"W/S 30 PL S/O 47 AVE Q","0220","P",40.745483,40.745483
"W/S 50 PL S/O 47 AVE Q","0223","P",40.744906,40.744906
"W/S 30 PL S/O 47 AVE Q","0615","P",40.745483,40.745483
"W/S 50 PL S/O 47 AVE Q","0217","P",40.744906,40.744906
"58TH STREET  ","1013","A",40.6338635,40.6338635
"8TH AVENUE  NY","0742","A",40.7527615,40.7527615
"BROADWAY  BX","0347","P",40.8914091,40.8914091
"CROTONA P  BX","0535","P",40.8454084,40.8454084
"CROTONA PK  BX","0545","P",40.884474,40.884474
"CROTONA PK  BX","0550","A",40.884474,40.884474
"CROTONA PK  ","0553","P",40.884474,40.884474
"CROTONA PK  BX","0555","P",40.884474,40.884474
"CROTONA PK  BX","0555","P",40.884474,40.884474
"CROTONA PK  BX","0600","P",40.884474,40.884474
"CROTONA PK  BX","0603","P",40.884474,40.884474
"CROTONA PK  BX","0605","P",40.884474,40.884474
"CROTONA PK  BX","0620","A",40.884474,40.884474
"CROTONA PK  BX","0625","P",40.884474,40.884474
"E 152 ST  BX","0955","A",40.8182385,40.8182385
"E 152 ST  BX","0957","A",40.8182385,40.8182385
"BROOK AVE  BX","0855","P",40.8165817,40.8165817
"LORING AVE  BX","1045","P",40.906303,40.906303
"WYATT STREET  BX","0105","A",40.838928,40.838928
"MOHEGAN AVENUE  BX","0715","P",40.8437438,40.8437438
"E 149 ST  BX","0230","P",40.8146111,40.8146111
"GLEASON AVE  BX","1021","P",40.831102,40.831102
"MORRISON AV  BX","1015","P",40.8266655,40.8266655
"SOUND VIEW  BX","0804","P",40.8160422,40.8160422
"WALLACE AVE  BX","0505","A",40.8585752,40.8585752
"WHITE PLAINS RD  BX","0540","P",40.856614,40.856614
"OSGOOD  BX","0803","P",40.9489716,40.9489716
"CARPENTER AVENUE  BX","0915","P",40.895794,40.895794
"LOUIS NINE BLVD  BX","1048","P",38.3360351,38.3360351
"3RD AVE  BX","0623","A",40.8327336,40.8327336
"BELMONT AVE  BX","0305","A",40.8511708,40.8511708
"BOSTON ROAD  BX","0205","A",40.8586572,40.8586572
"TENBROECK  BX","1109","A",40.861072,40.861072
"FENTON AVE  BX","1101","A",40.870562,40.870562
"BARLCER AVE  BX","0130","A",40.8666101,40.8666101
"WHITE PLAINS RD  BX","0215","A",40.856614,40.856614
"WALLACE AVE  BX","0205","A",40.8585752,40.8585752
"E 174 ST  BX","1045","P",40.8373589,40.8373589
"TAYLOR AVE  BX","1057","P",40.827926,40.827926
"SOUND VIEW AVE  BX","1122","P",40.8160422,40.8160422
"ST RAYMODN AVE  BX","0923","A",40.839091,40.839091
"METCALF AVE  BX","1052","P",40.839091,40.839091
"PURDY STREET  BX","0823","A",40.8247033,40.8247033
"E 233 ST  BX","0200","A",40.8376796,40.8376796
"FENTON AVE  BX","0552","P",40.8921127,40.8921127
"HILL  BX","0714","P",40.870562,40.870562
"C/O E 242 STREET CARPENTER AVE BX","0650","P",40.900851,40.900851
"C/O E 242 STREET CARPENTER AVE BX","0651","P",40.895794,40.895794
"C/O BRONXDALE WHITE PLAINS RD BX","0830","A",40.895794,40.895794
"87 STREET  Q","1149","P",30.2601996,30.2601996
"93 STREET  Q","1236","P",41.0233732,41.0233732
"37 AVENUE  Q","1257","A",45.8974027,45.8974027
"104 STREET  Q","1123","P",41.5505951,41.5505951
"105 ST  Q","0824","A",40.7506548,40.7506548
"24 AVE  Q","0518","P",45.8634311,45.8634311
"108 ST  Q","0510","P",43.0384125,43.0384125
"88 ST  Q","0950","P",45.8203857,45.8203857
"ROOSEVELT AVE  Q","0339","A",43.829476,43.829476
"ROOSEVELT AVE  Q","0344","A",41.3511016,41.3511016
"73 ST  Q","0030","A",41.3511016,41.3511016
"37 AVE  Q","1020","A",41.9635912,41.9635912
"C/O CENTER BLVD 54 AVE Q","1035","P",41.5505951,41.5505951
"C/O CENTER BLVD BEND AVE Q","1035","P",36.0572633,36.0572633
"SKILLMAN AVE  Q","1118","A",36.2164543,36.2164543
"63 ST  Q","0140","A",40.631055,40.631055
"SKILLMAN AVE  Q","0700","A",41.5963672,41.5963672
"50 AVE  ","1023","P",40.631055,40.631055
"BELL BLVD  ","0835","P",42.0999752,42.0999752
"BELL BLVD  Q","0420","P",40.7582634,40.7582634
"35 AVE  Q","0930","P",40.7582634,40.7582634
"JUNCTION BLVD  Q","0343","P",27.7087417,27.7087417
"64TH ST  Q","0935","P",38.7560793,38.7560793
"59 ST  Q","0913","P",42.5378638,42.5378638
"23 AVE  Q","1024","P",42.166618,42.166618
"QUEENS BLVD  ","0323","A",48.0054429,48.0054429
"41 ST  Q","1217","A",40.7337864,40.7337864
"C/O 48 STREET 55 AVE Q","0631","P",43.9068169,43.9068169
" 51 AVE Q","0600","P",27.7714267,27.7714267
"56 ROAD  Q","0620","P",37.6774047,37.6774047
"45 AVE  Q","0430","P",39.6677498,39.6677498
"C/O 66 ROAD GRANT CNT PK Q","0950","P",41.5372785,41.5372785
"C/O 67 RD GRAND CENT PKWY Q","1000","P",35.6766463,35.6766463
"C/O 67 RD GRAND CNTL PKWY Q","1004","P",40.731679,40.731679
"52 AVE  Q","0620","A",40.731679,40.731679
"83 ST  Q","0735","P",46.804005,46.804005
"35 AVE  Q","1050","P",41.4967682,41.4967682
"111 ST  Q","0615","P",27.7087417,27.7087417
"96 ST  Q","1055","P",41.6872618,41.6872618
"37 DR  Q","0101","A",25.8867085,25.8867085
"104 ST  Q","0610","P",30.1535363,30.1535363
"JORALEMON ST  K","0344","P",42.5263511,42.5263511
"BERKELEY  K","0735","P",40.7996059,40.7996059
"BERKLEY ST  K","0112","P",37.8715926,37.8715926
"COURT ST  K","1101","A",41.8538669,41.8538669
"DRIGGS AVE  K","1000","P",44.0068146,44.0068146
"WYTHE AVE  K","0925","P",40.71814,40.71814
"NORTH 7TH ST  K","0458","A",40.7128651,40.7128651
"BOX STREET  K","0702","P",34.3600803,34.3600803
"INDIA STREET  K","0939","P",40.7373416,40.7373416
"MONITOR STREET  K","0735","P",32.7293253,32.7293253
"GREEN STREET  K","0719","P",40.7257893,40.7257893
"N 6TH  K","1236","A",37.7978373,37.7978373
"HUMBOLT ST  K","0204","A",39.2160584,39.2160584
"HANCOCK ST  K","0504","P",37.8467448,37.8467448
"SMITH STREET  ","0231","A",42.2687473,42.2687473
"PRINCE ST  K","0530","A",40.680541,40.680541
"ADAMS STREET  K","0728","P",34.4548023,34.4548023
"9TH AVENUE  NY","0913","A",40.6983034,40.6983034
"9TH AVENUE  NY","0710","A",40.7692123,40.7692123
"E/S OF 30TH PL N/S OF 47TH AVE Q","1103","A",40.7692123,40.7692123
"BEDFORD AVE  K","0715","A",29.9427208,29.9427208
"DIVISION AVE ROE BLVD K","0736","A",40.6537806,40.6537806
"LEE AVE WILLIAM ST K","0741","A",-27.6177461,-27.6177461
"LEE AVE  K","0743","A",40.8537361,40.8537361
"NOSTRAND AVE  K","0758","A",42.7316541,42.7316541
"MYRTLE AVE  K","0806","A",40.6414193,40.6414193
"MYRTLE AVE  K","0810","A",40.9065206,40.9065206
"MYRTLE AVE  K","0818","A",40.9065206,40.9065206
"MYRTLE AVE  K","0821","A",40.9065206,40.9065206
"VERNON AVE  K","0832","A",40.9065206,40.9065206
"VERNON AVE  K","0837","A",41.1564053,41.1564053
"WILLOUGHBY AVE  K","0840","A",41.1564053,41.1564053
"WILLOUGHBY AVE  K","0848","A",44.8057795,44.8057795
"CHAPEL ST  K","1026","A",44.8057795,44.8057795
"NARROWS RD SOUTH  R","0730","A",39.646186,39.646186
"FINGER BOARD S/O NARROWS R","0740","A",40.6055662,40.6055662
"S/S E 96TH ST E/O FDR DR NY","0356","P",40.603481,40.603481
"S/S E 96TH ST E/O 1ST AVE NY","0518","P",40.7497898,40.7497898
"CABRINI BLVD  NY","0837","A",40.763368,40.763368
"W 126 ST  NY","0309","P",40.8533357,40.8533357
"RIVERSIDE BLVD  ","0626","P",40.810843,40.810843
"ELDRIDGE ST  NY","0946","A",42.5089643,42.5089643
"E 16 ST  NY","0914","A",40.7185858,40.7185858
"E/S 11 AV N/O W 49 ST NY","0810","A",40.7327203,40.7327203
"N/S W 18 ST E/O 10 AVE NY","1120","A",40.7702904,40.7702904
"WEST 54  NY","0843","A",40.732859,40.732859
"AUDOBON AVE  NY","0010","A",40.5329899,40.5329899
"JUMEL PLACE  NY","0040","A",40.8480534,40.8480534
"WADSWORTH AVE  NY","0300","A",40.8395144,40.8395144
"WADSWORTH AVE  NY","0133","A",40.8510335,40.8510335
"FORT WASHINGTON AVE  NY","0214","A",40.8510335,40.8510335
"BROADWAY  NY","0253","A",40.8472299,40.8472299
"W 165 STREET  NY","1122","A",40.759011,40.759011
"BROADWAY  NY","1132","A",40.837195,40.837195
"S/S W 176 ST E/O WADSWORTH NY","1135","A",40.759011,40.759011
"E/S EDGECOMBE AVE S/O JUME NY","1147","A",40.8503641,40.8503641
"E/S EDGECOMBE AVE S/O JEWEL PLACE NY","1146","A",40.7127837,40.7127837
"E/S EDGECOMBHE AVE S/O JEWEL PLACE NY","1150","A",42.0819077,42.0819077
"E/S EDGECOMBE AVE S/O JEWEL PLACE NY","1151","A",42.0819077,42.0819077
"E/S EDGECOMBE AVE S/O JEWEL PLACE NY","1153","A",42.0819077,42.0819077
"E/S EDGECOMBE AVE S/O JEWEL PLACE NY","1157","A",42.0819077,42.0819077
"E/S EDGECOMBE AVE S/O JEWEL PLACE NY","1159","A",42.0819077,42.0819077
"E/S EDGECOMBE AVE S/O JEWEL PLACE NY","1200","A",42.0819077,42.0819077
"E/S EDGECOMBE AVE N/O 167 STREEET NY","1204","P",42.0819077,42.0819077
"E/S EDGECOMBE AVE N/O 167 STREET NY","1207","P",40.7127837,40.7127837
"AMSTERDAM  NY","1143","A",40.7127837,40.7127837
"AMSTERDAM  NY","1145","A",42.9377453,42.9377453
"AMSTERDAM AVE  NY","1148","A",42.9377453,42.9377453
"W 168 ST  NY","1204","P",40.8134133,40.8134133
"W 168 ST  NY","1228","P",40.8395144,40.8395144
"W 168 STREET  NY","1102","A",40.8395144,40.8395144
"BROADWAY  NY","1111","A",40.8395144,40.8395144
"W/S EDGECOMBE AVE S/O JUMEL PLACE NY","1142","A",40.759011,40.759011
"BROADWAY  NY","0106","A",40.8395144,40.8395144
"W 174 ST  NY","0124","A",40.759011,40.759011
"W 173 ST  NY","0450","A",40.8448153,40.8448153
"W 173 ST  NY","0448","A",40.8446481,40.8446481
"W 175 ST  NY","0406","A",40.8446481,40.8446481
"AMSETRDAM AVE  NY","1250","A",40.8454459,40.8454459
"W 155 STREET AMSTERDAM AVE NY","0412","A",40.8134133,40.8134133
"ST NICHOLAS AVE  ","0131","A",40.831673,40.831673
"WEST 155 ST AMSTERDAM NY","0407","A",31.1154248,31.1154248
"RIVERSIDE DR  NY","0426","A",40.8308955,40.8308955
"W 165TH STREET  NY","0145","A",40.8162123,40.8162123
"BROADWAY  ","0154","A",40.837195,40.837195
"W 173 ST  NY","0515","P",41.1115472,41.1115472
"AMSTERDAM AVE  NY","0725","A",40.8446481,40.8446481
"BROADWAY  NY","0505","P",40.8134133,40.8134133
"BROADWAY  NY","0510","P",40.759011,40.759011
"ST NICHOLAS AVE  NY","0147","A",40.759011,40.759011
"AMSTERDAM  NY","0426","A",40.8285966,40.8285966
"MAUER AVE  ","0528","P",42.9377453,42.9377453
"  ","0600","A",42.4214545,42.4214545
"W 170 ST  NY","1056","P",38.746612,38.746612
"W 159 ST  NY","0606","P",40.8420924,40.8420924
"W 170 ST  NY","1053","P",40.8341065,40.8341065
"ST NICHOLAS  NY","0324","A",40.8420924,40.8420924
"AUDUBON  AV  NY","0749","P",40.8285966,40.8285966
"AMSTERDAM  NY","0620","A",40.8480534,40.8480534
"BROADWAY  NY","0552","P",42.9377453,42.9377453
"ST.NICHOLAS AVE  ","0430","A",40.759011,40.759011
"W 165 ST  ","0319","A",31.1154248,31.1154248
"W 165 ST  ","0320","A",38.7680796,38.7680796
"W 164 ST  NY","0530","A",38.7680796,38.7680796
"ST NICHOLAS AVE  NY","1216","A",40.8364669,40.8364669
"W 173 FT WASH NY","0117","P",40.8285966,40.8285966
"RIVERSIDE DRIVE  NY","0108","A",40.8411274,40.8411274
"W 158TH STREET  NY","0601","A",40.8162123,40.8162123
"W 173RD ST  NY","1255","A",40.8350477,40.8350477
"WEST 167 ST  NY","0931","A",40.8446481,40.8446481
"AMSTERDAM  NY","0304","P",40.8392503,40.8392503
"WEST 167 ST  NY","0135","P",42.9377453,42.9377453
"WEST 171 ST  NY","1255","P",40.8392503,40.8392503
"BROADWAY  NY","0909","A",40.8432448,40.8432448
"CORNER ST NICHOLAS AVE W 167 S NY","1118","A",40.759011,40.759011
"W 165 ST  NY","0253","P",40.840289,40.840289
"WEST 168  NY","0930","A",40.837195,40.837195
"W 161 ST  NY","0510","P",40.732844,40.732844
"W 170 ST  NY","1000","P",40.8351238,40.8351238
"AUDUBON  AVE  NY","0406","P",40.8420924,40.8420924
"AMSTERDAM AVE  NY","1023","P",40.8480534,40.8480534
"W 170 ST  NY","1000","P",40.8134133,40.8134133
"W 170 ST  NY","0952","P",40.8420924,40.8420924
"W 170 ST  NY","0952","P",40.8420924,40.8420924
"W 170 ST  NY","0950","P",40.8420924,40.8420924
"W 170 ST  NY","0845","P",40.8420924,40.8420924
"W 170 ST  NY","0845","P",40.8420924,40.8420924
"W 170 ST  NY","1020","P",40.8420924,40.8420924
"W 170 ST  NY","1010","P",40.8420924,40.8420924
"W 169 ST  NY","0933","A",40.8420924,40.8420924
"JAY ST HIGH ST K","0526","P",40.8404741,40.8404741
"VAN SICLEN AVE  K","0233","A",44.5920532,44.5920532
"VAN SICLEN  K","0120","A",40.6620244,40.6620244
"SCHENCK AVE  K","0140","A",40.6620244,40.6620244
"MONTAUCK AVE  K","0850","A",40.6673864,40.6673864
"HEGEMAN AVE  K","0305","P",41.3334359,41.3334359
"MALTA STREET  K","0803","A",40.6599257,40.6599257
"FLATLANDS AV  K","1143","A",40.6555559,40.6555559
"JAMAICA AVENUE  K","1010","A",40.6419051,40.6419051
