"Location","Time","AM.PM","lat","long"
"LIBERTY AVE  K","0125","P",40.7022091,40.7022091
"BEDFORD AVE  K","1118","A",41.8211642,41.8211642
"MARCY AVE  K","0948","A",40.6537806,40.6537806
"ST MARKS AVE ROGERS AVE K","0638","P",40.6975765,40.6975765
"PROSPECT PL  K","1222","A",42.3292454,42.3292454
"BUSHWICK AVE  ","1256","A",40.6740157,40.6740157
"MORGAN AVE  K","0715","P",40.692626,40.692626
"DIVISION AVE  K","1112","P",37.9967914,37.9967914
"FLATBUSH AVE  K","0254","P",44.6693831,44.6693831
"DEAN ST  K","0248","A",41.9387167,41.9387167
"DEAN ST  K","0625","A",41.9042936,41.9042936
"HENDRIX  K","0914","A",41.9042936,41.9042936
"  K","0105","A",33.7737136,33.7737136
"FLATLANDS AVE  K","0915","A",50.8993757,50.8993757
"CLEVELAND STREET  K","1045","A",40.6419051,40.6419051
"C/O LINCOLN  K","0118","P",47.6730241,47.6730241
"ATLANTIC AVE  K","0613","P",40.8257625,40.8257625
"HENDRIX ST  K","0916","P",46.010643,46.010643
"VAN SICLEN AVE  K","1240","A",40.6594264,40.6594264
"PITKIN AVE  K","0900","P",40.6620244,40.6620244
"EUCLID AVE  K","0610","P",39.0643782,39.0643782
"BARBY  K","0200","A",41.6277858,41.6277858
"C/O LIVONIA SCHENCK K","1155","P",51.9665971,51.9665971
"T BOYLAND  K","1057","P",40.686145,40.686145
"BELMONT AVE  K","0100","P",-27.938889,-27.938889
"E/S SARATOGA N/O EASTERN K","1144","A",44.4141423,44.4141423
"E/S SARATOGA N/O EASTERN K","1144","A",40.8691692,40.8691692
"BERGEN ST  K","0940","A",40.8691692,40.8691692
"HERLZ ST  K","1115","A",40.686145,40.686145
"PITKIN AVE  K","0137","P",39.6878608,39.6878608
"DEAN ST  K","0952","P",39.0643782,39.0643782
"PITKIN AVE  K","0425","P",41.9042936,41.9042936
"SACKMAN ST  K","0400","P",39.0643782,39.0643782
"NORTH PORTLAND AVE  K","1045","P",40.6730326,40.6730326
"DEAN ST  K","0540","P",35.6542131,35.6542131
"DEAN ST  K","0445","P",41.9042936,41.9042936
"DEAN ST  K","0445","P",41.9042936,41.9042936
"ST JOHNS PL  K","0926","P",41.9042936,41.9042936
"ASHFORD  K","0910","P",40.6714824,40.6714824
"WILLIAMS  K","1000","P",51.1464659,51.1464659
"HINSDALE  K","0650","P",48.432044,48.432044
"VERMONT  K","0015","A",40.839091,40.839091
"C/O LIVONIA TERRACE K","0136","P",40.8247033,40.8247033
"EMERALD ST STANLEY AVE K","0003","A",40.8376796,40.8376796
"RUBY ST  K","0245","A",40.8921127,40.8921127
"LOVINA AVE  K","0240","A",40.870562,40.870562
"S/E C/O LIVONIA SCHENCK K","1000","A",40.900851,40.900851
"LIVONIA SCHENCK K","0300","A",40.895794,40.895794
"PINE ST  K","0208","A",40.895794,40.895794
"LIVONIA AVE  K","1120","P",30.2601996,30.2601996
"PENNSYLVANIA AVE  K","1100","P",41.0233732,41.0233732
"CRESCENT ST  K","1230","A",45.8974027,45.8974027
"CHESTNUT ST  K","0900","A",41.5505951,41.5505951
"PITKIN AVE  K","1245","P",40.7506548,40.7506548
"ARLINGTON AVE  K","1025","A",45.8634311,45.8634311
"NEW LOTS AVE  K","1248","A",43.0384125,43.0384125
"BLAKE AVE  K","0943","P",45.8203857,45.8203857
"WORTMAN AVE  K","0425","P",43.829476,43.829476
"WORTMAN AVE  K","0515","P",41.3511016,41.3511016
"WORTMAN AVE  K","0519","P",41.3511016,41.3511016
"SHERIDAN  K","0900","P",41.9635912,41.9635912
"FOUNTIAN  ","1215","A",41.5505951,41.5505951
"FOUNTAIN  K","1225","A",36.0572633,36.0572633
"MILFORD ST  K","1020","P",36.2164543,36.2164543
"GEORGIA AVE  K","1115","P",40.631055,40.631055
"BRADFORD AVE  K","0210","A",41.5963672,41.5963672
"BRADFORD ST  K","0210","A",40.631055,40.631055
"PENNSYLVANIA AVE  K","0205","A",42.0999752,42.0999752
"PENNSYLVANIA AVE  K","0213","A",40.7582634,40.7582634
"E 40 STREET  K","0342","P",40.7582634,40.7582634
"ALBANY AVE  K","0600","P",27.7087417,27.7087417
"LOTT ST  K","0133","A",38.7560793,38.7560793
"BROOKLYN AVE  K","0155","A",42.5378638,42.5378638
"E 25 ST  K","0305","A",42.166618,42.166618
"LINDEN BLVD  K","0336","A",48.0054429,48.0054429
"LINDEN BLVD  K","0429","A",40.7337864,40.7337864
"CLARKSON AVE  K","0503","P",43.9068169,43.9068169
"WINTHROP ST  K","0555","P",27.7714267,27.7714267
"E 92 ST  K","0610","P",37.6774047,37.6774047
"E 94 ST  K","0826","P",39.6677498,39.6677498
"RUTLANDT RD  K","0530","P",41.5372785,41.5372785
"CHURCH AVE  K","0733","P",35.6766463,35.6766463
"S/E C/O I/O AVE H E 35 ST K","0403","A",40.731679,40.731679
"C/O BROOKLYN AVE FOSTER AVE K","0941","A",40.731679,40.731679
"E 93 STREET  K","0519","P",46.804005,46.804005
"RUTLAND RD  K","0857","P",41.4967682,41.4967682
"E 98 STREET  K","1024","P",27.7087417,27.7087417
"UTICA AVE  K","0536","P",41.6872618,41.6872618
"S/W C/O E 52 ST CHURCH ST K","0720","P",25.8867085,25.8867085
"UTICA AVE  K","0704","P",30.1535363,30.1535363
"CHURCH AVE  K","1210","P",42.5263511,42.5263511
"CHURCH AVE  K","1045","P",40.7996059,40.7996059
"EAST 28 ST  K","0106","A",37.8715926,37.8715926
"BROOKLYN AVENUE  K","1248","A",41.8538669,41.8538669
"CLARENDON ROAD  K","1220","A",44.0068146,44.0068146
"LENOX RD  K","0304","A",40.71814,40.71814
"E 38 ST  K","0206","A",40.7128651,40.7128651
"E 35 ST  K","0440","A",34.3600803,34.3600803
"E 93  K","0435","A",40.7373416,40.7373416
"AMSTERDAM  NY","0947","A",32.7293253,32.7293253
"HAVEN AVE  NY","1250","P",40.7257893,40.7257893
"W 165 ST  NY","0315","A",37.7978373,37.7978373
"W 165 ST  NY","0609","A",39.2160584,39.2160584
"W 102 ST  NY","0500","A",37.8467448,37.8467448
"AMSTERDAM  ","1247","A",42.2687473,42.2687473
"STILLWELL AV  K","1007","P",40.680541,40.680541
"30 PL 47 AVE ","1000","A",34.4548023,34.4548023
"W/O 30 PL N 47 AVE Q","1037","A",40.6983034,40.6983034
"N/O 47 AVE W 30 PL Q","1059","A",40.7692123,40.7692123
"W/O 30 PL N/O 47 AVE Q","1158","A",40.7692123,40.7692123
"W/O 30 PL N 47 AVE Q","1202","P",29.9427208,29.9427208
"  Q","0936","A",40.6537806,40.6537806
"W/ 30 PL N/ 47 AVE Q","1130","A",-27.6177461,-27.6177461
"W/S 34 ST S PARK AVE NY","0905","A",40.8537361,40.8537361
"E 34TH STREET  NY","0749","A",42.7316541,42.7316541
"W/S MADISON AVE N/O E 34 ST NY","0245","P",40.6414193,40.6414193
"W/S MADISON AVE N/O E 34 ST NY","0247","P",40.9065206,40.9065206
"W/S MADISON AVE N E 34 ST NY","0136","P",40.9065206,40.9065206
"N/S MERMAID AVE E/O W 20 ST K","1237","P",40.9065206,40.9065206
"11 AVE  NY","0530","P",40.9065206,40.9065206
"BROADWAY  NY","0700","P",41.1564053,41.1564053
"BROADWAY  NY","0030","P",41.1564053,41.1564053
"9 AVE  NY","0556","P",44.8057795,44.8057795
"BROADWAY  NY","0745","P",44.8057795,44.8057795
"BROADWAY  NY","0749","P",39.646186,39.646186
"BROADWAY  NY","1000","P",40.6055662,40.6055662
"WEST 54 ST  NY","0620","P",40.603481,40.603481
"11 AVE  NY","0445","P",40.7497898,40.7497898
"9 AVE  ","0545","P",40.763368,40.763368
"W 53 ST  NY","0330","P",40.8533357,40.8533357
"11 AVE  NY","0350","P",40.810843,40.810843
"W 53  NY","0440","P",42.5089643,42.5089643
"WEST 66TH ST  NY","0550","P",40.7185858,40.7185858
"I/S/O WEST END AVE W 62 ST NY","0530","P",40.7327203,40.7327203
"I/S/O WEST END AVE W 62 ST NY","0532","P",40.7702904,40.7702904
"W 43 ST  NY","0205","P",40.732859,40.732859
"W 44 ST  NY","0939","A",40.5329899,40.5329899
"W 44 ST  NY","0945","A",40.8480534,40.8480534
"W 44 ST  NY","1013","A",40.8395144,40.8395144
"W 43  NY","1258","P",40.8510335,40.8510335
"W 44  NY","1106","A",40.8510335,40.8510335
"BROADWAY  NY","0931","A",40.8472299,40.8472299
"7TH AVE  NY","0937","A",40.759011,40.759011
"7TH AVE  NY","0944","A",40.837195,40.837195
"W 44 ST  NY","1005","A",40.759011,40.759011
"W 44 ST  NY","1007","A",40.8503641,40.8503641
"WEST 53 ST  NY","0857","P",40.7127837,40.7127837
"WEST 42 ST  NY","0203","P",42.0819077,42.0819077
"WEST 53 ST  NY","0600","P",42.0819077,42.0819077
"WEST 53 ST  NY","0610","P",42.0819077,42.0819077
"11 AVE  NY","0507","P",42.0819077,42.0819077
"11 AVE  NY","0507","P",42.0819077,42.0819077
"11 AVE  NY","0507","P",42.0819077,42.0819077
"11 AVE  NY","0507","P",42.0819077,42.0819077
"BROADWAY  NY","0640","P",40.7127837,40.7127837
"11 AVE  NY","0718","P",40.7127837,40.7127837
"WEST 45 ST  NY","0641","P",42.9377453,42.9377453
"WEST 51 ST  NY","0542","P",42.9377453,42.9377453
"169 ST  Q","1005","A",40.8134133,40.8134133
"169 ST  Q","1013","A",40.8395144,40.8395144
"S/W C/O GOTHIC 169 ST Q","0950","A",40.8395144,40.8395144
"71 AVE  Q","0150","P",40.8395144,40.8395144
"W 45 ST  NY","0746","P",40.759011,40.759011
"W 57 ST  NY","0848","P",40.8395144,40.8395144
"85 AVE  Q","0940","A",40.759011,40.759011
"84 AVE  Q","1015","A",40.8448153,40.8448153
"COOLIDGE AVE  Q","1012","A",40.8446481,40.8446481
"161 ST  Q","1030","A",40.8446481,40.8446481
"161 ST  Q","1032","A",40.8454459,40.8454459
"HENLEY RD  Q","0930","A",40.8134133,40.8134133
"169 ST  Q","1005","A",40.831673,40.831673
"165 ST  Q","1055","A",31.1154248,31.1154248
"164 ST  Q","0955","A",40.8308955,40.8308955
"W 48TH ST  NY","0820","P",40.8162123,40.8162123
"W 48TH ST  NY","0825","P",40.837195,40.837195
"161 ST  Q","1010","A",41.1115472,41.1115472
"82 RD  Q","1016","A",40.8446481,40.8446481
"169 ST  Q","1000","A",40.8134133,40.8134133
"167 ST  Q","1030","A",40.759011,40.759011
"34 AVE  Q","0936","A",40.759011,40.759011
"81 AVE  Q","0940","A",40.8285966,40.8285966
"87 ST  Q","1012","A",42.9377453,42.9377453
"84 ST  Q","1032","A",42.4214545,42.4214545
"W 48TH ST  NY","0805","P",38.746612,38.746612
"W 52ND ST  NY","0830","P",40.8420924,40.8420924
"W 53RD ST  NY","0835","P",40.8341065,40.8341065
"W 46TH ST  NY","0800","P",40.8420924,40.8420924
"HIGHLAND AVE  Q","0929","A",40.8285966,40.8285966
"169 ST  Q","0952","A",40.8480534,40.8480534
"GOTHIC DR  Q","1009","A",42.9377453,42.9377453
"76 ST  Q","0956","A",40.759011,40.759011
"114 ST  Q","0942","A",31.1154248,31.1154248
"111 ST 37 AVE Q","0953","A",38.7680796,38.7680796
"  Q","0938","A",38.7680796,38.7680796
"74 ST  Q","0946","A",40.8364669,40.8364669
"76 ST  Q","0952","A",40.8285966,40.8285966
"73 ST  Q","0935","A",40.8411274,40.8411274
"41 ST  Q","0932","A",40.8162123,40.8162123
"41 ST  Q","0935","A",40.8350477,40.8350477
"STEINWAY  Q","0948","A",40.8446481,40.8446481
"HIGHLAND  Q","0927","A",40.8392503,40.8392503
"167 ST  Q","0943","A",42.9377453,42.9377453
"168 PL  Q","1030","A",40.8392503,40.8392503
"114 ST  Q","0938","A",40.8432448,40.8432448
"114 ST  Q","0945","A",40.759011,40.759011
"114 ST  Q","0948","A",40.840289,40.840289
"34 AVE  Q","1020","A",40.837195,40.837195
"34 AVE  ","1020","A",40.732844,40.732844
"DITMAS 33 ST Q","1100","A",40.8351238,40.8351238
"W 45 ST  NY","0800","P",40.8420924,40.8420924
"34 AVE  Q","0931","A",40.8480534,40.8480534
"84 ST  Q","1032","A",40.8134133,40.8134133
"W 48TH ST  NY","0755","P",40.8420924,40.8420924
"AQUATTOS FORT TILDEN Q","0859","A",40.8420924,40.8420924
"21ST STREET  ","1030","P",40.8420924,40.8420924
"SUTPHIN BLVD  ","0330","A",40.8420924,40.8420924
"SUTPHIN BLVD  Q","0218","A",40.8420924,40.8420924
"LIRR KEW GARDEN STAT  Q","0449","A",40.8420924,40.8420924
"LIRR KEW GARDENS  Q","0315","A",40.8420924,40.8420924
"I/S LIRR KEW GARDENS  Q","0323","A",40.8420924,40.8420924
"I/S LIRR KEW GARDENS  Q","0316","A",40.8404741,40.8404741
"SUTPHIN  Q","0152","P",44.5920532,44.5920532
"SUTPHIN BLVD  Q","1104","P",40.6620244,40.6620244
"SUTPHIN BLVD  ","1105","P",40.6620244,40.6620244
"SUTPHIN BLVD  Q","1125","P",40.6673864,40.6673864
"SUTPHIN BLVD  Q","1235","A",41.3334359,41.3334359
"SUTPHIN BLVD  Q","0636","A",40.6599257,40.6599257
"KEW GARDENS  Q","0420","A",40.6555559,40.6555559
"E 161 ST  BX","1142","A",40.6419051,40.6419051
"HANSON PL  K","1030","P",40.7022091,40.7022091
"W 225TH ST  BX","0930","P",41.8211642,41.8211642
"HANSON PLACE  K","0955","A",40.6537806,40.6537806
"HANSON PL  K","0805","P",40.6975765,40.6975765
"SUTPHIN BLVD  ","0605","A",42.3292454,42.3292454
"ROSSVILLE RD VETERAN RD W R","0221","P",40.6740157,40.6740157
"ARTHUR KILL RD KRESCHIER ST R","0205","P",40.692626,40.692626
"MANCHESTER DR  R","1036","A",37.9967914,37.9967914
"WOODROW RD  R","0203","P",44.6693831,44.6693831
"SHARROTT AVE PENTON ST R","0912","A",41.9387167,41.9387167
"E/S 30 PL N/O 47 AVE Q","0949","A",41.9042936,41.9042936
"N/O C/O CHURCH AVE I/O NOSTRAND AVE K","0303","P",41.9042936,41.9042936
"I/S MERTO NORTH  BX","0440","P",33.7737136,33.7737136
"MNRR WEBSTER AVE  BX","1106","A",50.8993757,50.8993757
"E 233 ST  BX","0955","A",40.6419051,40.6419051
"I/S 555 EAST 233 ST  ","1005","A",47.6730241,47.6730241
"I/S 555 E 233 ST  BX","1015","A",40.8257625,40.8257625
"I/S METRO NORTH  BX","0448","P",46.010643,46.010643
"MNR EDALL AVE BX","0345","P",40.6594264,40.6594264
"  BX","0345","P",40.6620244,40.6620244
"SUTPHIN BLVD  Q","0122","A",39.0643782,39.0643782
"SUTPHIN BLVD  Q","0122","A",41.6277858,41.6277858
"AUSTIN ST KEW GARDEN Q","0308","A",51.9665971,51.9665971
"BELMONT AVE  BX","0928","A",40.686145,40.686145
"WOODBINE STREET  ","1150","A",-27.938889,-27.938889
"AVE O  ","1225","P",44.4141423,44.4141423
"GULF AVE  R","0511","P",40.8691692,40.8691692
"WESTCHESTER AV  NY","0951","P",40.8691692,40.8691692
"WESTCHESTER  BX","0958","P",40.686145,40.686145
"41ST AVE  Q","0832","P",39.6878608,39.6878608
"41ST AVE  Q","0424","P",39.0643782,39.0643782
"41ST AVE  Q","1140","A",41.9042936,41.9042936
"41ST AVE  Q","1031","A",39.0643782,39.0643782
"41ST AVE  Q","0949","A",40.6730326,40.6730326
"41ST AVE  Q","0650","A",35.6542131,35.6542131
"41ST AVE  ","0646","A",41.9042936,41.9042936
"41ST AVENUE  Q","0646","A",41.9042936,41.9042936
"41ST AVENUE  Q","0335","A",41.9042936,41.9042936
"41 AVE  Q","0746","P",40.6714824,40.6714824
"41 AVE  Q","0802","P",51.1464659,51.1464659
"CLARKSON AVENUE  ","0740","A",48.432044,48.432044
"CLARKSON AVE  K","0953","A",40.6560529,40.6560529
"CLARKSON AVE  K","0413","P",40.6560529,40.6560529
"CLARKSON AVE  K","0358","P",40.6560529,40.6560529
"CLARKSON AVE  K","1120","A",40.6560529,40.6560529
"ELIZABETH ST  NY","1200","P",40.6560529,40.6560529
"C/O 241ST STREET 138TH AVENUE Q","0528","P",40.720633,40.720633
"SAINT NICHOLAS AVE  NY","0810","P",46.010643,46.010643
"SAINT NICHOLAS AVE  NY","0550","P",40.8285966,40.8285966
"SCHERMERHORN  K","1040","A",40.8285966,40.8285966
"SCHERMERHORN ST  K","1041","A",52.6005503,52.6005503
"LIVINGSTON ST  K","1055","A",40.6890351,40.6890351
"MAIN ST RI NY 10066  ","0930","A",40.2170677,40.2170677
"  NY","0000","P",41.4349344,41.4349344
"WEBSTER AVE  BX","0853","A",40.7127837,40.7127837
"LAFAYETTE AVE  BX","0113","A",40.8645894,40.8645894
"BEACH AVE  BX","0215","P",40.8224696,40.8224696
"COMMONWEALTH AVE  BX","0405","P",40.83295,40.83295
"STERLING ST  K","0700","P",40.8326872,40.8326872
"OVINGTON AVE  ","1042","A",42.3836001,42.3836001
"METROPOLITAN OVAL  BX","1118","P",40.6303003,40.6303003
"SHERIDAN AVE  ","1046","A",-0.0952434,-0.0952434
"FULTON STREET  NY","0445","P",40.10235,40.10235
"1 AVE  NY","0845","A",40.7102288,40.7102288
"35 AV  Q","0552","P",40.763368,40.763368
"ROOSEVELT AVE  Q","1140","P",27.7087417,27.7087417
"CHARLES ST  NY","0840","P",41.3511016,41.3511016
"BLEECKER ST  NY","0930","P",40.7346503,40.7346503
"BLEECKER ST  NY","0930","P",40.7287995,40.7287995
"23RD AVE  Q","0648","A",40.7287995,40.7287995
"23 AVE  Q","0928","A",48.0054429,48.0054429
"SUTPHIN BLVD  Q","1215","P",48.0054429,48.0054429
"E 103 ST  K","0230","A",40.70546,40.70546
"EDGAR ST GREENWICH ST NY","0227","P",41.7079245,41.7079245
"WINTHROP ST  K","1000","A",41.129893,41.129893
"WINTHROP  K","0744","A",40.6571876,40.6571876
"WINTHROP  K","0742","A",42.3778173,42.3778173
"OCEANVIEW AV  K","1159","A",42.3778173,42.3778173
"BEACH 46 ST  K","0525","P",40.5845875,40.5845875
"ST JOHNS PL  K","0830","A",33.6209764,33.6209764
"W 118TH ST  NY","1020","A",40.6714824,40.6714824
"E 144 TH ST  BX","0851","A",40.805037,40.805037
"MORRIS AVENUE  BX","0753","P",40.8122116,40.8122116
"41ST AVE  Q","0857","A",-37.7994828,-37.7994828
"41ST AVE  Q","0947","A",46.8923964,46.8923964
"41 AVE  Q","0710","A",46.8923964,46.8923964
"41 AVE  NY","0703","A",46.8923964,46.8923964
"41 AVENUE  Q","0801","P",40.7602241,40.7602241
"41 AVENUE  ","0802","P",46.8923964,46.8923964
"41 AVE  Q","0838","A",46.8923964,46.8923964
"41 AVE  Q","0934","A",46.8923964,46.8923964
"41ST AVE  Q","0835","A",46.8923964,46.8923964
"41ST AVE  Q","0959","A",46.8923964,46.8923964
"41ST AVE  Q","1159","A",46.8923964,46.8923964
"BAXTER AVE  Q","0830","P",46.8923964,46.8923964
"W 49 ST  NY","0805","P",42.3407209,42.3407209
"W 47 ST  ","1046","A",40.7621306,40.7621306
"W 47 ST  ","1005","A",39.0424669,39.0424669
"W 43 ST  NY","0543","P",39.0424669,39.0424669
"W 43 ST  NY","0550","P",40.7588055,40.7588055
"W 43 ST  NY","0555","A",40.7588055,40.7588055
"WEST 54TH ST  NY","0515","P",40.7588055,40.7588055
"W 72 ST  NY","1105","A",40.7647976,40.7647976
"CENTRAL PARK WEST  NY","1046","A",40.7787301,40.7787301
"WEST 72ND ST  NY","0223","P",40.7848582,40.7848582
"RIVERSIDE DR  NY","0935","A",40.7787301,40.7787301
"AMSTERDAM AVE  NY","0146","P",40.8162123,40.8162123
"WEST END AVE  NY","0230","P",40.8134133,40.8134133
"COLUMBUS AVE  NY","0942","A",40.7869408,40.7869408
"WEST 80TH ST  NY","0557","P",40.7854736,40.7854736
"FREEDOM PLACE  NY","0204","P",40.7838387,40.7838387
"RIVERSIDE BLVD  NY","0221","P",40.7778564,40.7778564
"BROADWAY  NY","1036","A",40.7776939,40.7776939
"WEST 60TH ST  NY","0530","P",40.759011,40.759011
"W 88 ST  NY","0558","P",40.7710072,40.7710072
"9 AVE  NY","0528","P",40.7890023,40.7890023
"W 59 ST  NY","0529","P",40.7692123,40.7692123
"5TH AVE  NY","0931","A",40.766029,40.766029
"W 43 ST  NY","1012","A",40.7750534,40.7750534
"W 44 ST  NY","1021","A",40.7588055,40.7588055
"W 43 ST  NY","1025","A",40.7585406,40.7585406
"W 22 ST  NY","1054","A",40.7588055,40.7588055
"N/W C/O 44 ST 9TH AVE NY","0625","P",40.7446311,40.7446311
"W 43 ST  NY","0555","P",40.7410115,40.7410115
"W 37 ST  NY","0632","P",40.7588055,40.7588055
"AMSTERDAM AVE  NY","0555","P",40.754091,40.754091
"RIVERSIDE BLVD  NY","0609","P",40.8134133,40.8134133
"11TH AVE  NY","0515","P",40.7776939,40.7776939
